
2025/04/30 (15:53:40) | ===> btop++ v.1.4.0
2025/04/30 (15:53:40) | ERROR: Stall in Runner thread, restarting!

2025/06/16 (23:32:27) | ===> btop++ v.1.4.0
2025/06/16 (23:32:27) | ERROR: Stall in Runner thread, restarting!

2025/07/04 (23:21:38) | ===> btop++ v.1.4.0
2025/07/04 (23:21:38) | ERROR: Stall in Runner thread, restarting!

2025/08/25 (06:12:45) | ===> btop++ v.1.4.0
2025/08/25 (06:12:45) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:12:57) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:13:34) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:14:26) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:15:20) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:16:11) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:19:37) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:19:52) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:20:07) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:20:22) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:20:40) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:22:47) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:28:06) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:29:15) | ERROR: Stall in Runner thread, restarting!
2025/08/25 (06:44:13) | ERROR: Stall in Runner thread, restarting!

2025/09/28 (23:36:12) | ===> btop++ v.1.4.0
2025/09/28 (23:36:12) | ERROR: Exception during Config::unlock() : _Map_base::at

2025/10/21 (05:43:46) | ===> btop++ v.1.4.0
2025/10/21 (05:43:49) | ERROR: Stall in Runner thread, restarting!
2025/10/21 (05:44:13) | ERROR: Stall in Runner thread, restarting!
2025/10/21 (05:44:51) | ERROR: Stall in Runner thread, restarting!
2025/10/21 (05:45:50) | ERROR: Stall in Runner thread, restarting!

2025/11/27 (01:53:01) | ===> btop++ v.1.4.0
2025/11/27 (01:53:01) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (01:57:14) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (01:57:24) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (01:57:40) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (01:58:15) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (01:58:50) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (01:59:39) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (02:00:01) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (02:00:27) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (02:01:02) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (02:05:48) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (02:05:57) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (02:07:02) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (02:11:40) | ERROR: Stall in Runner thread, restarting!
2025/11/27 (02:22:01) | ERROR: Stall in Runner thread, restarting!
